marital,postlife,age,happy,income
married,,37.0,pretty happy,"$15,000 to $19,999"
never married,,28.0,pretty happy,"$20,000 to $24,999"
widowed,no,54.0,very happy,"$25,000 or more"
never married,yes,44.0,very happy,"$25,000 or more"
separated,yes,77.0,pretty happy,
separated,,44.0,pretty happy,
separated,no,47.0,not too happy,"$5,000 to $5,999"
never married,yes,19.0,pretty happy,"$10,000 to $14,999"
married,yes,36.0,very happy,"$8,000 to $9,999"
never married,yes,27.0,not too happy,"$8,000 to $9,999"
divorced,yes,51.0,pretty happy,"$20,000 to $24,999"
never married,yes,24.0,very happy,"$25,000 or more"
never married,yes,37.0,pretty happy,
never married,yes,25.0,pretty happy,"$10,000 to $14,999"
divorced,yes,36.0,pretty happy,"$8,000 to $9,999"
widowed,yes,66.0,very happy,"$7,000 to $7,999"
married,no,63.0,not too happy,"$4,000 to $4,999"
never married,,36.0,,"$25,000 or more"
widowed,yes,89.0,very happy,
married,yes,45.0,not too happy,
married,yes,35.0,very happy,"$25,000 or more"
widowed,yes,71.0,not too happy,"$6,000 to $6,999"
never married,yes,37.0,pretty happy,
divorced,yes,46.0,pretty happy,
married,yes,27.0,pretty happy,"$25,000 or more"
married,yes,31.0,pretty happy,
married,yes,67.0,very happy,"$10,000 to $14,999"
married,no,52.0,pretty happy,"$25,000 or more"
never married,yes,20.0,pretty happy,"$25,000 or more"
married,yes,29.0,not too happy,"$20,000 to $24,999"
never married,yes,23.0,not too happy,
separated,yes,30.0,pretty happy,"$20,000 to $24,999"
married,yes,34.0,pretty happy,"$25,000 or more"
married,,46.0,pretty happy,"$25,000 or more"
never married,,36.0,pretty happy,"$5,000 to $5,999"
married,yes,22.0,pretty happy,"$25,000 or more"
never married,no,22.0,very happy,"$25,000 or more"
married,yes,78.0,very happy,
married,yes,57.0,not too happy,"$25,000 or more"
married,yes,40.0,pretty happy,"$25,000 or more"
widowed,yes,58.0,pretty happy,"$25,000 or more"
married,yes,27.0,very happy,"$25,000 or more"
married,yes,34.0,pretty happy,"$25,000 or more"
widowed,yes,70.0,pretty happy,
separated,yes,30.0,pretty happy,"$15,000 to $19,999"
never married,yes,24.0,very happy,"$25,000 or more"
never married,no,19.0,pretty happy,
never married,,29.0,not too happy,"$20,000 to $24,999"
married,yes,38.0,very happy,"$25,000 or more"
divorced,no,69.0,very happy,"$10,000 to $14,999"
never married,yes,24.0,pretty happy,
married,yes,42.0,pretty happy,"$25,000 or more"
never married,yes,22.0,pretty happy,"$20,000 to $24,999"
widowed,yes,26.0,very happy,"$25,000 or more"
never married,yes,28.0,pretty happy,"$25,000 or more"
separated,no,22.0,not too happy,"$10,000 to $14,999"
married,yes,49.0,pretty happy,"$20,000 to $24,999"
widowed,yes,67.0,pretty happy,"$8,000 to $9,999"
married,yes,49.0,pretty happy,"$25,000 or more"
married,yes,63.0,pretty happy,"$25,000 or more"
married,,34.0,pretty happy,"$25,000 or more"
divorced,no,64.0,very happy,"$15,000 to $19,999"
never married,yes,31.0,pretty happy,"$25,000 or more"
widowed,yes,86.0,very happy,"$5,000 to $5,999"
never married,yes,22.0,pretty happy,"$7,000 to $7,999"
married,,46.0,very happy,"$25,000 or more"
married,no,74.0,very happy,"$8,000 to $9,999"
married,yes,41.0,pretty happy,"$25,000 or more"
never married,no,27.0,pretty happy,"$25,000 or more"
married,yes,,not too happy,"$25,000 or more"
never married,yes,,not too happy,"$20,000 to $24,999"
married,no,30.0,pretty happy,"$25,000 or more"
never married,,23.0,pretty happy,"$25,000 or more"
married,yes,29.0,pretty happy,"$20,000 to $24,999"
divorced,yes,44.0,pretty happy,"$25,000 or more"
widowed,,70.0,not too happy,"$6,000 to $6,999"
never married,yes,23.0,very happy,"$25,000 or more"
married,yes,,very happy,
married,yes,48.0,very happy,"$25,000 or more"
married,no,44.0,not too happy,"$25,000 or more"
widowed,,46.0,very happy,"$25,000 or more"
widowed,yes,71.0,not too happy,
divorced,yes,42.0,not too happy,"$20,000 to $24,999"
married,yes,60.0,pretty happy,"$25,000 or more"
divorced,yes,44.0,pretty happy,"$25,000 or more"
married,yes,40.0,pretty happy,"$20,000 to $24,999"
married,,27.0,pretty happy,"$25,000 or more"
married,yes,26.0,pretty happy,"$25,000 or more"
married,yes,49.0,pretty happy,"$20,000 to $24,999"
divorced,no,56.0,pretty happy,"$10,000 to $14,999"
married,yes,29.0,pretty happy,"$25,000 or more"
divorced,yes,62.0,pretty happy,"$25,000 or more"
married,no,37.0,pretty happy,"$25,000 or more"
married,yes,41.0,pretty happy,"$25,000 or more"
widowed,no,77.0,pretty happy,"$25,000 or more"
never married,yes,61.0,very happy,"$25,000 or more"
divorced,yes,45.0,not too happy,"$25,000 or more"
widowed,,84.0,very happy,
married,,72.0,pretty happy,"$10,000 to $14,999"
never married,no,29.0,not too happy,"$7,000 to $7,999"
married,yes,32.0,pretty happy,"$25,000 or more"
married,yes,51.0,very happy,"$25,000 or more"
never married,yes,26.0,very happy,"$25,000 or more"
married,yes,33.0,pretty happy,"$25,000 or more"
married,no,68.0,very happy,"$20,000 to $24,999"
married,yes,44.0,very happy,"$25,000 or more"
divorced,yes,35.0,pretty happy,"$10,000 to $14,999"
never married,yes,32.0,pretty happy,"$10,000 to $14,999"
never married,,66.0,pretty happy,"$7,000 to $7,999"
separated,,71.0,very happy,"$5,000 to $5,999"
married,yes,46.0,pretty happy,"$25,000 or more"
divorced,yes,47.0,pretty happy,"$1,000 to $2,999"
separated,yes,31.0,pretty happy,"$15,000 to $19,999"
separated,,54.0,very happy,"$10,000 to $14,999"
separated,no,51.0,not too happy,"$5,000 to $5,999"
never married,yes,46.0,pretty happy,"$3,000 to $3,999"
widowed,yes,73.0,not too happy,"$4,000 to $4,999"
separated,yes,67.0,not too happy,"$3,000 to $3,999"
divorced,yes,44.0,pretty happy,"$4,000 to $4,999"
married,yes,52.0,pretty happy,"$25,000 or more"
married,no,39.0,pretty happy,"$25,000 or more"
married,no,42.0,very happy,"$25,000 or more"
married,yes,42.0,pretty happy,"$25,000 or more"
married,no,43.0,pretty happy,"$25,000 or more"
married,yes,54.0,pretty happy,"$25,000 or more"
married,no,37.0,pretty happy,"$25,000 or more"
divorced,yes,40.0,very happy,"$15,000 to $19,999"
married,yes,30.0,pretty happy,"$25,000 or more"
never married,no,29.0,pretty happy,"$25,000 or more"
married,yes,45.0,very happy,"$25,000 or more"
never married,no,21.0,very happy,"$25,000 or more"
married,yes,27.0,very happy,"$25,000 or more"
divorced,yes,43.0,pretty happy,"$25,000 or more"
married,yes,42.0,very happy,"$25,000 or more"
married,yes,43.0,very happy,"$25,000 or more"
married,yes,30.0,very happy,"$25,000 or more"
married,yes,34.0,pretty happy,"$25,000 or more"
never married,yes,38.0,pretty happy,"$25,000 or more"
married,yes,36.0,very happy,"$25,000 or more"
widowed,yes,60.0,pretty happy,"$8,000 to $9,999"
widowed,yes,77.0,not too happy,"$8,000 to $9,999"
never married,no,43.0,pretty happy,"$25,000 or more"
separated,yes,36.0,pretty happy,"$25,000 or more"
widowed,yes,63.0,not too happy,"$6,000 to $6,999"
divorced,yes,35.0,very happy,"$20,000 to $24,999"
never married,yes,24.0,,"$15,000 to $19,999"
married,yes,63.0,very happy,"$25,000 or more"
widowed,yes,76.0,pretty happy,"$10,000 to $14,999"
married,yes,42.0,very happy,"$25,000 or more"
widowed,,76.0,pretty happy,"$7,000 to $7,999"
married,yes,56.0,not too happy,"$25,000 or more"
married,yes,68.0,very happy,"$25,000 or more"
never married,yes,19.0,pretty happy,
widowed,yes,74.0,pretty happy,"$25,000 or more"
divorced,yes,63.0,very happy,
married,yes,50.0,pretty happy,"$25,000 or more"
married,yes,64.0,pretty happy,"$20,000 to $24,999"
married,yes,47.0,pretty happy,"$25,000 or more"
married,yes,54.0,pretty happy,"$25,000 or more"
widowed,yes,56.0,pretty happy,
married,yes,42.0,pretty happy,"$25,000 or more"
married,yes,35.0,very happy,"$20,000 to $24,999"
never married,yes,20.0,pretty happy,"$25,000 or more"
married,yes,27.0,very happy,"$25,000 or more"
separated,yes,54.0,very happy,"$25,000 or more"
separated,yes,39.0,not too happy,"$15,000 to $19,999"
divorced,yes,44.0,pretty happy,"$25,000 or more"
divorced,yes,32.0,pretty happy,"$15,000 to $19,999"
married,yes,42.0,pretty happy,"$25,000 or more"
widowed,no,70.0,very happy,"$25,000 or more"
never married,yes,54.0,very happy,"$25,000 or more"
married,yes,24.0,pretty happy,"$10,000 to $14,999"
divorced,yes,40.0,pretty happy,"$5,000 to $5,999"
married,yes,26.0,not too happy,"$25,000 or more"
married,yes,25.0,pretty happy,"$25,000 or more"
married,no,32.0,very happy,"$25,000 or more"
married,yes,39.0,pretty happy,"$25,000 or more"
married,yes,37.0,pretty happy,"$15,000 to $19,999"
widowed,yes,66.0,pretty happy,"$15,000 to $19,999"
widowed,yes,51.0,pretty happy,"$20,000 to $24,999"
married,yes,38.0,pretty happy,"$20,000 to $24,999"
never married,yes,27.0,not too happy,"$25,000 or more"
married,yes,63.0,very happy,"$25,000 or more"
widowed,yes,66.0,not too happy,"$3,000 to $3,999"
married,no,37.0,pretty happy,"$25,000 or more"
married,no,28.0,pretty happy,"$15,000 to $19,999"
married,yes,36.0,pretty happy,"$25,000 or more"
widowed,yes,83.0,very happy,"$20,000 to $24,999"
widowed,yes,86.0,very happy,
never married,yes,24.0,very happy,"$25,000 or more"
married,no,62.0,very happy,"$25,000 or more"
married,no,46.0,pretty happy,"$25,000 or more"
never married,yes,22.0,pretty happy,"$10,000 to $14,999"
married,yes,81.0,pretty happy,"$20,000 to $24,999"
divorced,yes,39.0,not too happy,"$8,000 to $9,999"
married,yes,40.0,pretty happy,"$25,000 or more"
divorced,yes,44.0,pretty happy,"$25,000 or more"
married,yes,83.0,pretty happy,
never married,no,39.0,very happy,"$25,000 or more"
never married,no,21.0,pretty happy,"$10,000 to $14,999"
never married,yes,45.0,pretty happy,"$7,000 to $7,999"
never married,yes,31.0,pretty happy,"$7,000 to $7,999"
divorced,yes,58.0,pretty happy,"$25,000 or more"
never married,no,32.0,pretty happy,"$25,000 or more"
married,yes,51.0,pretty happy,"$25,000 or more"
divorced,yes,35.0,very happy,"$25,000 or more"
married,yes,25.0,very happy,"$25,000 or more"
married,no,36.0,pretty happy,"$25,000 or more"
widowed,,65.0,,"$25,000 or more"
married,yes,63.0,very happy,"$8,000 to $9,999"
married,yes,48.0,pretty happy,"$25,000 or more"
married,yes,62.0,pretty happy,"$25,000 or more"
widowed,yes,68.0,pretty happy,"$5,000 to $5,999"
never married,yes,24.0,not too happy,"$25,000 or more"
married,yes,31.0,pretty happy,"$15,000 to $19,999"
divorced,no,46.0,pretty happy,"$4,000 to $4,999"
married,,30.0,pretty happy,"$25,000 or more"
married,yes,40.0,pretty happy,"$25,000 or more"
never married,yes,19.0,,"$25,000 or more"
never married,yes,25.0,very happy,"$10,000 to $14,999"
never married,yes,27.0,very happy,"$25,000 or more"
never married,yes,22.0,,"$15,000 to $19,999"
married,no,58.0,,"$25,000 or more"
divorced,,61.0,pretty happy,"$25,000 or more"
widowed,yes,64.0,very happy,
married,yes,33.0,pretty happy,"$25,000 or more"
never married,yes,29.0,not too happy,"$10,000 to $14,999"
married,yes,60.0,pretty happy,"$25,000 or more"
married,no,39.0,pretty happy,"$25,000 or more"
married,yes,32.0,pretty happy,"$20,000 to $24,999"
never married,yes,27.0,pretty happy,"$15,000 to $19,999"
never married,yes,26.0,very happy,"$15,000 to $19,999"
divorced,yes,34.0,not too happy,"$7,000 to $7,999"
divorced,yes,32.0,pretty happy,"$10,000 to $14,999"
married,yes,63.0,pretty happy,"$25,000 or more"
married,yes,75.0,very happy,"$25,000 or more"
married,yes,64.0,very happy,
married,,57.0,pretty happy,"$25,000 or more"
married,yes,63.0,very happy,"$25,000 or more"
married,yes,41.0,very happy,"$25,000 or more"
married,yes,50.0,very happy,"$25,000 or more"
married,no,58.0,pretty happy,
married,,30.0,very happy,"$25,000 or more"
never married,no,21.0,pretty happy,"$25,000 or more"
married,yes,70.0,pretty happy,"$25,000 or more"
married,yes,52.0,pretty happy,"$25,000 or more"
divorced,yes,51.0,not too happy,"$10,000 to $14,999"
married,no,26.0,pretty happy,"$15,000 to $19,999"
married,yes,36.0,very happy,"$25,000 or more"
never married,no,29.0,pretty happy,"under $1,000"
married,yes,54.0,very happy,"$25,000 or more"
married,yes,28.0,very happy,"$25,000 or more"
divorced,,41.0,pretty happy,"$25,000 or more"
married,no,34.0,very happy,"$25,000 or more"
married,yes,33.0,,
married,yes,32.0,very happy,"$25,000 or more"
married,yes,35.0,not too happy,"$7,000 to $7,999"
widowed,yes,70.0,pretty happy,"$10,000 to $14,999"
married,no,50.0,not too happy,"$25,000 or more"
married,yes,28.0,pretty happy,"$25,000 or more"
separated,yes,43.0,pretty happy,"$25,000 or more"
married,,34.0,very happy,"$20,000 to $24,999"
married,no,31.0,very happy,"$25,000 or more"
married,no,31.0,not too happy,"$25,000 or more"
married,yes,30.0,very happy,"$25,000 or more"
never married,yes,29.0,pretty happy,"$4,000 to $4,999"
divorced,yes,33.0,pretty happy,"$15,000 to $19,999"
divorced,no,37.0,pretty happy,"$15,000 to $19,999"
never married,yes,36.0,very happy,"$25,000 or more"
married,yes,34.0,pretty happy,"$25,000 or more"
married,no,48.0,pretty happy,"$25,000 or more"
widowed,,69.0,pretty happy,"$10,000 to $14,999"
never married,yes,70.0,pretty happy,"$4,000 to $4,999"
never married,no,21.0,pretty happy,"$25,000 or more"
never married,yes,20.0,not too happy,"$20,000 to $24,999"
divorced,yes,33.0,,"$15,000 to $19,999"
married,,43.0,pretty happy,"$20,000 to $24,999"
married,yes,53.0,pretty happy,"$25,000 or more"
separated,yes,43.0,very happy,"$25,000 or more"
widowed,no,71.0,pretty happy,"$4,000 to $4,999"
married,yes,56.0,not too happy,"$25,000 or more"
married,no,65.0,very happy,"$15,000 to $19,999"
widowed,yes,74.0,,
married,yes,47.0,pretty happy,"$20,000 to $24,999"
separated,yes,51.0,not too happy,"$4,000 to $4,999"
married,yes,70.0,very happy,
married,yes,54.0,pretty happy,"$15,000 to $19,999"
married,yes,50.0,pretty happy,"$25,000 or more"
separated,yes,68.0,pretty happy,
widowed,,66.0,pretty happy,"$8,000 to $9,999"
widowed,yes,89.0,very happy,"$4,000 to $4,999"
divorced,yes,70.0,pretty happy,"$7,000 to $7,999"
widowed,yes,73.0,very happy,"$4,000 to $4,999"
divorced,yes,56.0,,"$1,000 to $2,999"
widowed,no,70.0,pretty happy,
married,yes,43.0,pretty happy,
married,yes,35.0,pretty happy,"$25,000 or more"
never married,yes,21.0,not too happy,"$8,000 to $9,999"
widowed,yes,74.0,pretty happy,"$25,000 or more"
never married,yes,29.0,pretty happy,"$25,000 or more"
married,yes,34.0,very happy,"$25,000 or more"
divorced,,45.0,pretty happy,
married,no,36.0,not too happy,"$25,000 or more"
married,yes,80.0,very happy,"$20,000 to $24,999"
never married,yes,22.0,very happy,"$25,000 or more"
widowed,yes,78.0,very happy,"$20,000 to $24,999"
married,yes,45.0,very happy,"$25,000 or more"
married,yes,39.0,pretty happy,
married,yes,38.0,pretty happy,
married,yes,39.0,pretty happy,"$25,000 or more"
married,yes,60.0,very happy,"$10,000 to $14,999"
married,,42.0,pretty happy,"$20,000 to $24,999"
married,yes,66.0,pretty happy,"$15,000 to $19,999"
married,yes,33.0,not too happy,"$25,000 or more"
married,yes,48.0,pretty happy,"$25,000 or more"
married,no,40.0,very happy,"$25,000 or more"
married,no,63.0,pretty happy,"$25,000 or more"
married,yes,66.0,very happy,
married,no,59.0,pretty happy,"$25,000 or more"
married,no,66.0,very happy,"$25,000 or more"
married,yes,57.0,pretty happy,"$25,000 or more"
married,no,62.0,pretty happy,"$25,000 or more"
never married,yes,41.0,pretty happy,"$25,000 or more"
never married,yes,20.0,pretty happy,
widowed,yes,32.0,pretty happy,"$15,000 to $19,999"
married,yes,45.0,pretty happy,"$10,000 to $14,999"
married,yes,22.0,pretty happy,"$3,000 to $3,999"
married,yes,81.0,very happy,"$5,000 to $5,999"
widowed,yes,56.0,pretty happy,"$6,000 to $6,999"
never married,yes,29.0,very happy,"$20,000 to $24,999"
separated,yes,62.0,not too happy,"$4,000 to $4,999"
married,yes,51.0,pretty happy,"$15,000 to $19,999"
divorced,no,40.0,not too happy,"$15,000 to $19,999"
never married,yes,61.0,pretty happy,"$10,000 to $14,999"
never married,yes,36.0,pretty happy,"$3,000 to $3,999"
divorced,yes,33.0,pretty happy,"$25,000 or more"
married,yes,76.0,very happy,"$10,000 to $14,999"
widowed,no,67.0,very happy,"$1,000 to $2,999"
separated,yes,34.0,not too happy,"$6,000 to $6,999"
never married,no,38.0,very happy,"$10,000 to $14,999"
never married,yes,,not too happy,
never married,no,20.0,pretty happy,"$4,000 to $4,999"
never married,,45.0,pretty happy,"$15,000 to $19,999"
never married,,22.0,not too happy,"$10,000 to $14,999"
never married,,20.0,very happy,"$7,000 to $7,999"
never married,yes,22.0,pretty happy,"$5,000 to $5,999"
never married,yes,25.0,pretty happy,"$7,000 to $7,999"
married,yes,82.0,pretty happy,"$7,000 to $7,999"
married,yes,29.0,pretty happy,"$8,000 to $9,999"
married,yes,43.0,pretty happy,"$25,000 or more"
married,yes,41.0,pretty happy,"$25,000 or more"
married,yes,33.0,very happy,"$25,000 or more"
married,yes,28.0,pretty happy,"$15,000 to $19,999"
married,yes,72.0,pretty happy,
married,yes,33.0,pretty happy,"$20,000 to $24,999"
married,yes,74.0,pretty happy,
never married,,45.0,not too happy,"$7,000 to $7,999"
never married,yes,25.0,pretty happy,"$10,000 to $14,999"
never married,yes,25.0,pretty happy,"$3,000 to $3,999"
never married,yes,28.0,,
married,yes,35.0,pretty happy,
separated,yes,34.0,pretty happy,"$25,000 or more"
never married,,23.0,very happy,
married,yes,30.0,not too happy,"$10,000 to $14,999"
divorced,yes,27.0,pretty happy,"$15,000 to $19,999"
never married,yes,20.0,pretty happy,"$1,000 to $2,999"
never married,yes,31.0,pretty happy,"$7,000 to $7,999"
never married,yes,35.0,not too happy,"$3,000 to $3,999"
divorced,yes,29.0,pretty happy,"$8,000 to $9,999"
divorced,no,50.0,not too happy,
married,yes,62.0,pretty happy,"$10,000 to $14,999"
never married,yes,25.0,not too happy,"under $1,000"
separated,no,31.0,very happy,"under $1,000"
never married,yes,44.0,pretty happy,"$10,000 to $14,999"
never married,yes,31.0,not too happy,"$15,000 to $19,999"
never married,yes,20.0,very happy,
married,yes,60.0,very happy,"$8,000 to $9,999"
widowed,yes,67.0,pretty happy,
married,yes,38.0,pretty happy,"$20,000 to $24,999"
widowed,no,50.0,not too happy,"$10,000 to $14,999"
never married,yes,19.0,pretty happy,"$15,000 to $19,999"
married,yes,60.0,pretty happy,"$25,000 or more"
never married,yes,23.0,pretty happy,"$8,000 to $9,999"
never married,yes,31.0,pretty happy,"$25,000 or more"
separated,yes,25.0,pretty happy,"$6,000 to $6,999"
never married,no,27.0,not too happy,"$25,000 or more"
married,yes,35.0,very happy,"$20,000 to $24,999"
married,no,56.0,not too happy,"$25,000 or more"
married,no,41.0,very happy,"$20,000 to $24,999"
married,yes,36.0,very happy,"$25,000 or more"
married,no,59.0,pretty happy,"$25,000 or more"
married,yes,41.0,pretty happy,"$25,000 or more"
married,no,72.0,pretty happy,"$15,000 to $19,999"
never married,yes,68.0,pretty happy,"$15,000 to $19,999"
married,no,71.0,not too happy,"$25,000 or more"
separated,,32.0,pretty happy,"$25,000 or more"
never married,,39.0,pretty happy,"$25,000 or more"
married,no,64.0,pretty happy,"$10,000 to $14,999"
married,no,36.0,pretty happy,"$25,000 or more"
widowed,no,64.0,not too happy,"$20,000 to $24,999"
married,yes,66.0,pretty happy,"$25,000 or more"
divorced,yes,67.0,pretty happy,"$7,000 to $7,999"
divorced,yes,45.0,pretty happy,"$15,000 to $19,999"
never married,yes,56.0,pretty happy,"$3,000 to $3,999"
divorced,no,42.0,not too happy,"$25,000 or more"
never married,yes,73.0,pretty happy,"$25,000 or more"
married,yes,74.0,pretty happy,
married,yes,27.0,very happy,"$15,000 to $19,999"
never married,yes,24.0,pretty happy,"$25,000 or more"
widowed,yes,77.0,not too happy,
married,yes,61.0,very happy,"$25,000 or more"
married,yes,37.0,very happy,"$25,000 or more"
widowed,yes,51.0,not too happy,"$15,000 to $19,999"
never married,yes,26.0,very happy,"$15,000 to $19,999"
never married,no,20.0,pretty happy,"$25,000 or more"
married,no,29.0,pretty happy,"$15,000 to $19,999"
never married,yes,25.0,not too happy,"$20,000 to $24,999"
married,,71.0,pretty happy,"$3,000 to $3,999"
widowed,yes,78.0,very happy,"$4,000 to $4,999"
never married,no,20.0,pretty happy,"$25,000 or more"
married,yes,30.0,pretty happy,"$20,000 to $24,999"
never married,yes,28.0,pretty happy,"$15,000 to $19,999"
married,yes,57.0,very happy,"$20,000 to $24,999"
never married,no,66.0,pretty happy,"$8,000 to $9,999"
married,yes,32.0,very happy,"$20,000 to $24,999"
married,no,49.0,pretty happy,"$25,000 or more"
never married,no,50.0,pretty happy,"$3,000 to $3,999"
never married,yes,23.0,very happy,"$15,000 to $19,999"
widowed,yes,66.0,pretty happy,"$25,000 or more"
never married,yes,32.0,very happy,"$15,000 to $19,999"
widowed,,48.0,very happy,"$20,000 to $24,999"
divorced,no,39.0,pretty happy,"$15,000 to $19,999"
divorced,yes,56.0,pretty happy,"$10,000 to $14,999"
married,yes,31.0,pretty happy,"$25,000 or more"
married,yes,55.0,pretty happy,"$25,000 or more"
widowed,no,84.0,pretty happy,"$5,000 to $5,999"
married,yes,40.0,not too happy,"$25,000 or more"
married,no,49.0,pretty happy,"$25,000 or more"
married,yes,41.0,very happy,"$25,000 or more"
never married,yes,62.0,pretty happy,"$10,000 to $14,999"
married,yes,69.0,pretty happy,"$25,000 or more"
married,no,61.0,pretty happy,"$25,000 or more"
widowed,yes,59.0,not too happy,"$3,000 to $3,999"
separated,yes,55.0,not too happy,"$8,000 to $9,999"
never married,yes,49.0,pretty happy,"$3,000 to $3,999"
married,yes,36.0,very happy,"$15,000 to $19,999"
married,yes,58.0,pretty happy,"$6,000 to $6,999"
married,yes,72.0,pretty happy,"$15,000 to $19,999"
never married,yes,22.0,very happy,"$3,000 to $3,999"
widowed,yes,54.0,very happy,"$10,000 to $14,999"
married,yes,33.0,very happy,"$25,000 or more"
divorced,yes,60.0,very happy,"$25,000 or more"
married,yes,43.0,pretty happy,"$25,000 or more"
widowed,yes,79.0,very happy,"$6,000 to $6,999"
married,,35.0,pretty happy,"$25,000 or more"
married,yes,33.0,pretty happy,"$10,000 to $14,999"
divorced,no,44.0,very happy,"$25,000 or more"
divorced,yes,61.0,not too happy,"$8,000 to $9,999"
divorced,yes,31.0,very happy,"$8,000 to $9,999"
married,yes,37.0,pretty happy,"$25,000 or more"
married,yes,28.0,pretty happy,"$25,000 or more"
never married,yes,26.0,very happy,"$10,000 to $14,999"
widowed,,59.0,not too happy,"$25,000 or more"
married,,68.0,pretty happy,"$25,000 or more"
never married,yes,25.0,pretty happy,"$25,000 or more"
married,no,72.0,very happy,"$25,000 or more"
married,no,49.0,pretty happy,"$25,000 or more"
married,yes,55.0,pretty happy,"$25,000 or more"
married,no,38.0,very happy,"$25,000 or more"
divorced,,46.0,,"$25,000 or more"
married,yes,31.0,pretty happy,"$25,000 or more"
married,,70.0,pretty happy,"$25,000 or more"
married,yes,61.0,very happy,"$25,000 or more"
married,yes,24.0,very happy,"$25,000 or more"
never married,yes,23.0,not too happy,"$25,000 or more"
married,yes,28.0,very happy,"$25,000 or more"
married,no,55.0,very happy,"$25,000 or more"
married,yes,43.0,pretty happy,"$25,000 or more"
married,yes,27.0,very happy,"$25,000 or more"
married,no,34.0,pretty happy,"$25,000 or more"
married,yes,44.0,pretty happy,"$25,000 or more"
married,yes,34.0,very happy,"$25,000 or more"
married,yes,40.0,very happy,"$25,000 or more"
married,yes,44.0,very happy,"$25,000 or more"
married,no,68.0,very happy,"$15,000 to $19,999"
married,no,32.0,very happy,"$25,000 or more"
divorced,yes,35.0,,"$25,000 or more"
married,yes,59.0,very happy,"$15,000 to $19,999"
married,yes,39.0,very happy,"$25,000 or more"
married,no,37.0,very happy,"$25,000 or more"
married,no,29.0,very happy,"$25,000 or more"
married,yes,65.0,very happy,"$10,000 to $14,999"
married,yes,41.0,very happy,
married,yes,43.0,pretty happy,"$20,000 to $24,999"
married,yes,48.0,very happy,"$20,000 to $24,999"
married,yes,30.0,pretty happy,"$25,000 or more"
married,yes,37.0,very happy,"$25,000 or more"
married,yes,34.0,very happy,"$20,000 to $24,999"
married,yes,51.0,pretty happy,"$25,000 or more"
married,,82.0,very happy,
married,yes,43.0,very happy,"$25,000 or more"
divorced,,54.0,pretty happy,"$6,000 to $6,999"
married,yes,76.0,very happy,"$25,000 or more"
married,yes,57.0,very happy,"$25,000 or more"
married,no,23.0,very happy,"$15,000 to $19,999"
married,yes,32.0,very happy,"$15,000 to $19,999"
married,yes,30.0,very happy,"$25,000 or more"
married,yes,45.0,pretty happy,"$25,000 or more"
married,,32.0,pretty happy,"$25,000 or more"
never married,yes,32.0,pretty happy,"$4,000 to $4,999"
married,yes,21.0,pretty happy,"under $1,000"
divorced,yes,44.0,not too happy,"$8,000 to $9,999"
never married,yes,30.0,pretty happy,"$3,000 to $3,999"
widowed,no,56.0,pretty happy,"$1,000 to $2,999"
never married,yes,19.0,pretty happy,"$10,000 to $14,999"
married,yes,64.0,not too happy,
married,yes,33.0,pretty happy,"$25,000 or more"
married,yes,28.0,pretty happy,"$25,000 or more"
divorced,yes,30.0,very happy,"$25,000 or more"
married,yes,39.0,pretty happy,"$15,000 to $19,999"
married,no,70.0,very happy,"$25,000 or more"
divorced,yes,35.0,pretty happy,"$10,000 to $14,999"
married,yes,36.0,pretty happy,"$25,000 or more"
married,yes,65.0,very happy,"$25,000 or more"
married,no,60.0,pretty happy,"$10,000 to $14,999"
married,no,60.0,very happy,"$25,000 or more"
divorced,yes,34.0,pretty happy,"$15,000 to $19,999"
divorced,no,51.0,pretty happy,"$25,000 or more"
divorced,yes,83.0,not too happy,
widowed,yes,76.0,pretty happy,"$8,000 to $9,999"
widowed,yes,78.0,pretty happy,"$3,000 to $3,999"
widowed,yes,79.0,very happy,"$6,000 to $6,999"
married,no,56.0,very happy,"$25,000 or more"
married,yes,37.0,pretty happy,"$25,000 or more"
never married,yes,26.0,pretty happy,"$25,000 or more"
married,yes,33.0,pretty happy,
never married,yes,27.0,very happy,"$20,000 to $24,999"
married,yes,26.0,pretty happy,"$15,000 to $19,999"
married,yes,32.0,very happy,"$20,000 to $24,999"
married,yes,30.0,very happy,"$25,000 or more"
married,,38.0,pretty happy,"$25,000 or more"
married,no,29.0,pretty happy,"$20,000 to $24,999"
widowed,yes,78.0,pretty happy,"$3,000 to $3,999"
married,yes,55.0,very happy,"$25,000 or more"
divorced,yes,,pretty happy,"$10,000 to $14,999"
married,yes,68.0,pretty happy,"$10,000 to $14,999"
divorced,no,38.0,pretty happy,"$25,000 or more"
widowed,yes,80.0,pretty happy,"$4,000 to $4,999"
married,yes,24.0,pretty happy,"$8,000 to $9,999"
married,yes,22.0,very happy,"$3,000 to $3,999"
widowed,yes,51.0,not too happy,"$8,000 to $9,999"
married,yes,39.0,very happy,"$25,000 or more"
married,yes,39.0,pretty happy,"$25,000 or more"
married,,29.0,pretty happy,"$25,000 or more"
married,yes,51.0,very happy,"$25,000 or more"
divorced,yes,56.0,pretty happy,"$20,000 to $24,999"
married,yes,33.0,pretty happy,"$20,000 to $24,999"
married,yes,79.0,very happy,"$25,000 or more"
married,,40.0,pretty happy,"$25,000 or more"
married,no,42.0,pretty happy,"$25,000 or more"
never married,yes,31.0,pretty happy,"$15,000 to $19,999"
